locus	average_fitness	sd	sem	N_insertions
SP_0001	0			0
SP_0002	1.082	0.103	0.046	5
SP_0003	1.013	0.078	0.032	6
SP_0004	0.963	0.087	0.016	29
SP_0005	1.063	0.090	0.045	4
SP_0006	1.051	0.073	0.005	196
SP_0007	1.046	0.053	0.012	21
SP_0008	0			0
SP_0009	1.044	0.026	0.013	4
SP_0010	0.884	0.120	0.029	17
SP_0011	0			0
SP_0012	0.952	0.077	0.039	4
SP_0013	0			0
SP_0018	1.014	0.052	0.009	35
SP_0019	1.054	0.025	0.014	3
SP_0020	0.983	0.042	0.016	7
SP_0021	1.009	0.091	0.023	15
SP_0022	1.035	0.065	0.007	78
SP_0023	1.007	0.099	0.012	67
SP_0024 (*)	0.622	0.124	0.019	44
SP_0025	1.063	0.243	0.031	62
SP_0026	1.040	0.055	0.006	85
SP_0027	0			0
SP_0029	1.028	0.066	0.009	56
SP_0030	1.046	0.045	0.013	12
SP_0031	1.042	0.086	0.018	23
SP_0032	0.939	0.085	0.049	3
SP_0033	1.037	0.072	0.012	38
SP_0034	1.027	0.074	0.007	104
SP_0035	1.037	0.089	0.015	37
SP_0036	0.533	0	0	1
SP_0037	0.913	0.240	0.098	6
SP_0038	1.010	0.044	0.020	5
SP_0040	1.007	0.098	0.025	15
SP_0041	1.057	0.053	0.012	19
SP_0042	0.994	0.077	0.006	193
SP_0043	1.053	0.059	0.005	147
SP_0044	1.038	0.073	0.009	71
SP_0045	1.050	0.074	0.004	293
SP_0046	1.047	0.075	0.007	124
SP_0047	1.048	0.058	0.007	75
SP_0048	1.047	0.062	0.009	44
SP_0049	1.021	0.077	0.006	153
SP_0050	1.021	0.065	0.006	133
SP_0051	1.034	0.135	0.011	162
SP_0052	1.027	0.041	0.017	6
SP_0053	1.009	0.077	0.018	18
SP_0054	0.995	0.073	0.009	69
SP_0055	1.048	0.073	0.009	59
SP_0056	1.053	0.051	0.019	7
SP_0057	1.018	0.081	0.004	457
SP_0058	0.976	0.075	0.011	45
SP_0059	0.937	0.070	0.031	5
SP_0060	1.026	0.084	0.006	175
SP_0061	1.047	0.138	0.018	60
SP_0062	1.026	0.065	0.005	189
SP_0063	1.014	0.080	0.007	139
SP_0064	1.010	0.067	0.010	44
SP_0065	1.019	0.074	0.006	173
SP_0066	1.032	0.075	0.007	113
SP_0067	1.053	0.056	0.009	37
SP_0068	1.030	0.059	0.012	26
SP_0069	1.039	0.080	0.009	72
SP_0070	0.980	0.090	0.023	16
SP_0071	1.038	0.087	0.002	1792
SP_0072	1.072	0.024	0.010	6
SP_0073	1.039	0.062	0.005	145
SP_0074	1.044	0.077	0.011	52
SP_0075	1.034	0.061	0.007	67
SP_0076	1.038	0.073	0.009	63
SP_0077	1.057	0.064	0.012	28
SP_0078	1.058	0.065	0.005	201
SP_0079	1.055	0.072	0.009	62
SP_0080	1.008	0.070	0.016	20
SP_0081	1.037	0.080	0.006	180
SP_0082	1.043	0.080	0.006	202
SP_0083	1.047	0.076	0.008	87
SP_0084	1.038	0.076	0.009	79
SP_0085	1.012	0	0	1
SP_0087	1.041	0.076	0.024	10
SP_0088	1.054	0.073	0.014	29
SP_0089	1.055	0.066	0.013	25
SP_0090	1.032	0.097	0.007	203
SP_0091	1.017	0.073	0.007	111
SP_0092	1.056	0.106	0.008	167
SP_0093	1.023	0.054	0.009	39
SP_0094	1.048	0.057	0.008	45
SP_0095	1.047	0.076	0.009	78
SP_0096	1.051	0.075	0.007	124
SP_0097	1.062	0.081	0.006	197
SP_0098	1.056	0.077	0.007	106
SP_0099	1.079	0.071	0.009	58
SP_0100	1.037	0.073	0.011	42
SP_0101	1.054	0.065	0.004	211
SP_0102	1.058	0.076	0.014	28
SP_0103	1.005	0.076	0.038	4
SP_0104	1.055	0.109	0.010	127
SP_0105	1.033	0.075	0.012	38
SP_0106	1.039	0.078	0.015	28
SP_0107	0.994	0.072	0.009	65
SP_0108	1.034	0.067	0.011	37
SP_0109	1.026	0.083	0.011	55
SP_0110	1.040	0.093	0.005	355
SP_0111	1.057	0.095	0.011	68
SP_0112	1.043	0.062	0.007	78
SP_0113	1.026	0.074	0.011	50
SP_0114	1.041	0.047	0.009	25
SP_0115	1.037	0.095	0.009	108
SP_0116	1.025	0.082	0.011	59
SP_0117	1.038	0.069	0.006	141
SP_0118	0			0
SP_0119	0.979	0.058	0.022	7
SP_0120	0.913	0	0	1
SP_0121	0			0
SP_0122	0			0
SP_0123	1.041	0.070	0.012	35
SP_0124	1.004	0.151	0.028	28
SP_0125	1.051	0.066	0.013	26
SP_0126	1.111	0.011	0.006	4
SP_0127	1.003	0.073	0.030	6
SP_0128	0.991	0.079	0.018	20
SP_0129	0.950	0.046	0.033	2
SP_0130	1.028	0.072	0.009	69
SP_0131	0.989	0.091	0.009	97
SP_0132	1.004	0.069	0.010	52
SP_0133	1.015	0.082	0.005	271
SP_0134	1.048	0.205	0.031	44
SP_0135	1.014	0.057	0.004	195
SP_0136	1.028	0.142	0.007	424
SP_0137	1.034	0.084	0.004	495
SP_0138	1.036	0.080	0.004	352
SP_0139	1.036	0.112	0.006	327
SP_0140	1.043	0.129	0.006	533
SP_0141	1.032	0.097	0.008	151
SP_0142	1.042	0.087	0.012	51
SP_0143	1.039	0.070	0.005	180
SP_0144	1.023	0.062	0.005	153
SP_0145	1.028	0.075	0.005	209
SP_0146	1.004	0.070	0.006	136
SP_0147	1.025	0.054	0.012	19
SP_0148	0.977	0.066	0.027	6
SP_0149	1.097	0.081	0.008	94
SP_0150	1.011	0.120	0.009	177
SP_0151	1.104	0.064	0.006	111
SP_0152	1.084	0.137	0.016	71
SP_0153	1.022	0.068	0.007	90
SP_0154	1.035	0.069	0.007	97
SP_0155	1.036	0.076	0.004	314
SP_0156	1.037	0.073	0.005	251
SP_0157	1.025	0.064	0.005	148
SP_0158	0.984	0.131	0.058	5
SP_0159	1.027	0.062	0.005	160
SP_0160	1.019	0.060	0.009	47
SP_0161	1.018	0.059	0.008	57
SP_0162	0.986	0.100	0.058	3
SP_0163	1.031	0.079	0.006	155
SP_0164	1.017	0.062	0.015	17
SP_0165	1.050	0.192	0.012	270
SP_0166	1.034	0.080	0.004	404
SP_0167	1.038	0.070	0.003	506
SP_0168	1.036	0.113	0.005	490
SP_0169	0.997	0.033	0.010	11
SP_0170	1.045	0.073	0.013	31
SP_0171	1.037	0.069	0.009	65
SP_0172	0.984	0.055	0.018	9
SP_0173	1.030	0.075	0.005	206
SP_0174	1.072	0.097	0.037	7
SP_0175	1.031	0.095	0.008	135
SP_0176	1.023	0.068	0.004	285
SP_0177	1.023	0.106	0.008	176
SP_0178	1.021	0.074	0.005	211
SP_0179	0			0
SP_0180	1.025	0.047	0.011	20
SP_0181	1.030	0.065	0.005	145
SP_0182	1.033	0.081	0.007	124
SP_0183	0.962	0.124	0.055	5
SP_0184	0.996	0.097	0.012	64
SP_0185	0			0
SP_0186	0			0
SP_0187	1.041	0.078	0.009	79
SP_0188	1.017	0.108	0.041	7
SP_0189	1.078	0.040	0.012	12
SP_0190	0.998	0.031	0.010	9
SP_0191	1.044	0.059	0.010	33
SP_0192	0.982	0.103	0.059	3
SP_0193	1.126	0.010	0.007	2
SP_0194	1.037	0.160	0.092	3
SP_0196	1.032	0.049	0.025	4
SP_0197	0.841	0.053	0.018	9
SP_0198	1.021	0.072	0.008	76
SP_0199	1.074	0.105	0.025	17
SP_0200	1.014	0.063	0.006	117
SP_0201	1.013	0.128	0.023	31
SP_0202	0.971	0.137	0.038	13
SP_0203	1.026	0.077	0.022	12
SP_0204	1.013	0.038	0.017	5
SP_0205	0.847	0.127	0.063	4
SP_0206	1.037	0.075	0.011	45
SP_0207	1.016	0.056	0.009	35
SP_0208	0			0
SP_0209	0			0
SP_0210	0			0
SP_0211	0			0
SP_0212	0			0
SP_0213	0			0
SP_0214	0			0
SP_0215	0			0
SP_0216	0			0
SP_0217	0			0
SP_0218	0			0
SP_0219	0			0
SP_0220	0			0
SP_0221	0			0
SP_0222	0			0
SP_0223	0			0
SP_0224	0			0
SP_0225	0			0
SP_0226	0			0
SP_0227	0			0
SP_0228	0			0
SP_0229	0			0
SP_0230	0			0
SP_0231	0			0
SP_0232	0			0
SP_0233	0			0
SP_0234	0			0
SP_0235	0			0
SP_0236	0			0
SP_0237	0			0
SP_0238	1.012	0.071	0.011	44
SP_0239	1.010	0.073	0.011	42
SP_0240	1.051	0.083	0.011	59
SP_0241	1.022	0.069	0.004	386
SP_0242	1.034	0.066	0.006	121
SP_0243	1.019	0.067	0.004	261
SP_0244	0.964	0	0	1
SP_0245	1.031	0.063	0.005	139
SP_0246	1.006	0.072	0.008	75
SP_0247	1.023	0.104	0.007	195
SP_0248	1.037	0.069	0.008	79
SP_0249	1.040	0.076	0.007	103
SP_0250	1.037	0.108	0.006	364
SP_0251	1.029	0.067	0.003	664
SP_0252	1.020	0.072	0.006	166
SP_0253	1.016	0.072	0.005	238
SP_0254	1.034	0.043	0.019	5
SP_0255	1.037	0.062	0.008	58
SP_0256	1.013	0.065	0.012	30
SP_0258	1.027	0.060	0.011	29
SP_0259	0			0
SP_0260	1.029	0.067	0.009	60
SP_0261	0			0
SP_0262	0			0
SP_0263	1.035	0.064	0.009	48
SP_0264	0.931	0.052	0.030	3
SP_0265	1.020	0.070	0.007	114
SP_0266	0.970	0.025	0.018	2
SP_0267	1.032	0.062	0.006	124
SP_0268	1.023	0.072	0.003	431
SP_0269	0.981	0.051	0.030	3
SP_0270	1.013	0.020	0.014	2
SP_0271	0			0
SP_0272	0.833	0	0	1
SP_0273	0.950	0.016	0.011	2
SP_0274	0.952	0.071	0.032	5
SP_0275	1.019	0.070	0.015	22
SP_0276	1.027	0.088	0.033	7
SP_0277	1.011	0.071	0.019	14
SP_0278	1.034	0.083	0.015	30
SP_0279	1.006	0.066	0.033	4
SP_0280	1.070	0.068	0.009	62
SP_0281	1.035	0.070	0.008	85
SP_0282	1.002	0.088	0.013	46
SP_0283	1.025	0.089	0.017	29
SP_0284	1.014	0.089	0.017	27
SP_0285	1.016	0.066	0.008	76
SP_0286	1.032	0.054	0.008	48
SP_0287	1.038	0.061	0.004	192
SP_0288	1.037	0.069	0.008	82
SP_0289	1.034	0.078	0.017	21
SP_0290	0			0
SP_0291	0			0
SP_0292	0			0
SP_0293	1.030	0.057	0.010	32
SP_0294	0			0
SP_0295	0			0
SP_0296	1.028	0.061	0.014	19
SP_0297	1.020	0.078	0.039	4
SP_0298	1.024	0.069	0.004	336
SP_0301	1.037	0.067	0.014	23
SP_0302	1.019	0.063	0.006	126
SP_0303	1.023	0.133	0.008	294
SP_0304	1.006	0.102	0.009	115
SP_0305	1.018	0.069	0.011	41
SP_0306	1.030	0.094	0.005	324
SP_0307	1.024	0.057	0.006	102
SP_0308	1.023	0.070	0.008	68
SP_0309	1.026	0.083	0.008	98
SP_0310	1.040	0.083	0.005	325
SP_0311	1.033	0.072	0.013	30
SP_0312	1.019	0.087	0.004	541
SP_0313	1.017	0.060	0.007	64
SP_0314	1.025	0.078	0.003	583
SP_0315	1.012	0.145	0.009	244
SP_0316	1.045	0.157	0.036	19
SP_0317	1.025	0.060	0.006	107
SP_0318	1.032	0.068	0.006	136
SP_0319	1.026	0.069	0.007	87
SP_0320	1.033	0.064	0.005	141
SP_0321	1.021	0.074	0.009	69
SP_0322	1.025	0.072	0.005	208
SP_0323	1.025	0.060	0.006	86
SP_0324	1.032	0.134	0.011	138
SP_0325	1.024	0.078	0.006	189
SP_0326	1.020	0.067	0.011	39
SP_0327	1.027	0.078	0.006	181
SP_0329	1.031	0.074	0.014	29
SP_0330	0.999	0.087	0.013	43
SP_0331	1.053	0.068	0.009	52
SP_0332	1.050	0.072	0.009	68
SP_0333	0.989	0.057	0.028	4
SP_0334	0			0
SP_0335	0			0
SP_0336	0			0
SP_0337	0.715	0	0	1
SP_0338	1.012	0.086	0.007	133
SP_0340	1.036	0.050	0.009	31
SP_0341	1.010	0.062	0.008	60
SP_0342	1.014	0.070	0.005	199
SP_0346	1.030	0.075	0.011	49
SP_0360	1.016	0.059	0.009	46
SP_0366	1.031	0.065	0.004	307
SP_0367	1.011	0.097	0.019	26
SP_0368	1.015	0.074	0.003	759
SP_0369	0.984	0.068	0.018	15
SP_0370	0.977	0	0	1
SP_0371	1.006	0.062	0.012	27
SP_0372	0			0
SP_0373	1.034	0.068	0.007	95
SP_0374	0.932	0.106	0.015	52
SP_0375	0			0
SP_0376	0			0
SP_0377	1.034	0.080	0.011	57
SP_0378	1.046	0.067	0.007	82
SP_0379	1.013	0.088	0.006	197
SP_0380	1.008	0.072	0.005	230
SP_0381	0			0
SP_0382	0			0
SP_0383	0			0
SP_0384	0			0
SP_0385	0			0
SP_0386	0.996	0.207	0.073	8
SP_0387	1.060	0.084	0.013	44
SP_0388	1.023	0.070	0.009	56
SP_0389	1.072	0.066	0.016	18
SP_0390	1.030	0.071	0.008	86
SP_0391	1.033	0.075	0.007	121
SP_0394	1.041	0.098	0.006	286
SP_0395	1.027	0.098	0.005	406
SP_0396	1.051	0.075	0.007	102
SP_0397	1.042	0.082	0.006	196
SP_0398	1.069	0.058	0.014	17
SP_0399	1.042	0.062	0.013	24
SP_0400	1.049	0.093	0.025	14
SP_0401	0.984	0.087	0.009	86
SP_0402	0			0
SP_0403	1.011	0.133	0.047	8
SP_0404	0.992	0.058	0.011	28
SP_0405	0.980	0.068	0.013	29
SP_0406	1.004	0.081	0.009	78
SP_0407	0.983	0.046	0.023	4
SP_0408	1.027	0.084	0.009	79
SP_0409	1.014	0.071	0.011	38
SP_0410	1.021	0.070	0.007	100
SP_0411	0			0
SP_0412	0.951	0.110	0.028	16
SP_0413	0.872	0.089	0.010	76
SP_0414	0.998	0.058	0.029	4
SP_0415	0.851	0.042	0.029	2
SP_0416	0.986	0.130	0.058	5
SP_0417	0			0
SP_0418	0			0
SP_0419	0			0
SP_0420	0			0
SP_0421	0			0
SP_0422	0.926	0	0	1
SP_0423	0			0
SP_0424	0			0
SP_0425	1.001	0.053	0.015	12
SP_0426	0			0
SP_0427	0			0
SP_0428	0.988	0.075	0.017	20
SP_0429	1.024	0.078	0.015	28
SP_0430	1.037	0.061	0.011	34
SP_0431	1.003	0.068	0.011	35
SP_0433	0			0
SP_0434	0			0
SP_0435	0			0
SP_0436	0			0
SP_0437	0			0
SP_0438	0			0
SP_0439	0.913	0.092	0.014	43
SP_0440	1.007	0.064	0.007	90
SP_0441	0.848	0.137	0.068	4
SP_0442	0.954	0	0	1
SP_0443	1.022	0	0	1
SP_0444	1.019	0.053	0.017	10
SP_0445	1.022	0.072	0.006	155
SP_0446	1.008	0.074	0.011	46
SP_0447	1.022	0.073	0.006	128
SP_0448	1.023	0.069	0.008	66
SP_0449	1.014	0.088	0.013	45
SP_0450	1.006	0.068	0.005	206
SP_0451	0.940	0.159	0.071	5
SP_0452	0.872	0.141	0.045	10
SP_0453	0.946	0.084	0.007	160
SP_0454	0.979	0.092	0.006	218
SP_0455	1.040	0.115	0.030	15
SP_0457	0.934	0.269	0.155	3
SP_0458	1.006	0.064	0.015	18
SP_0459	0.998	0.078	0.006	162
SP_0461	1.012	0.079	0.005	267
SP_0462	1.019	0.073	0.004	346
SP_0463	1.010	0.067	0.004	270
SP_0464	1.007	0.063	0.005	150
SP_0465	1.043	0.039	0.019	4
SP_0466	1.014	0.059	0.006	90
SP_0467	1.039	0.160	0.019	73
SP_0468	1.030	0.085	0.013	44
SP_0470	1.014	0.049	0.010	24
SP_0471	1.024	0.074	0.012	38
SP_0472	0.999	0.056	0.013	20
SP_0473	0.992	0.073	0.005	219
SP_0474	1.020	0.087	0.005	273
SP_0475	1.021	0.097	0.004	592
SP_0476	1.013	0.069	0.009	58
SP_0477	1.023	0.075	0.004	322
SP_0478	1.008	0.098	0.005	342
SP_0479	1.006	0.067	0.007	84
SP_0480	1.027	0.073	0.007	103
SP_0481	0.984	0.077	0.006	144
SP_0482	1.017	0.074	0.011	44
SP_0483	1.024	0.076	0.005	204
SP_0484	1.030	0.065	0.006	138
SP_0486	1.019	0.072	0.013	29
SP_0487	0.984	0.077	0.011	52
SP_0488	1.004	0.083	0.010	69
SP_0489	1.007	0.060	0.010	39
SP_0490	1.002	0.056	0.008	51
SP_0491	1.018	0.073	0.015	24
SP_0492	1.024	0.065	0.015	18
SP_0493	0.943	0.051	0.029	3
SP_0494	1.031	0.089	0.009	89
SP_0496	1.020	0.077	0.006	168
SP_0497	1.014	0.079	0.018	19
SP_0498	1.011	0.101	0.004	533
SP_0499	0.865	0	0	1
SP_0500	1.064	0.054	0.017	10
SP_0501	0.934	0.070	0.031	5
SP_0502	0.912	0.138	0.031	20
